"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"72202012839","2015-01-01T00:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.15","68","71","0.00","","+0.03","6","90","FEW:02 10 SCT:04 15 BKN:07 45","30.15","30.12","9.00","69","320","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12901/01/15 00:53:02 METAR KMIA 010553Z 32003KT 9SM FEW010 SCT015 BKN045 22/20 A3015 RMK AO2 SLP210 T02170200 10239 20217 56010 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T01:00:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-12","4","","68","71","","","+0.03","6","90","15","30.15","30.12","8.70","69","320","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072202 32464 63203 10217 20200 30200 40210 56010 90553 333 10267 20217 555 90106=","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T01:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.15","68","71","0.00","","","","90","FEW:02 15 SCT:04 25 BKN:07 40","30.14","30.12","8.00","69","310","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11101/01/15 01:53:02 METAR KMIA 010653Z 31003KT 8SM FEW015 SCT025 BKN040 22/20 A3015 RMK AO2 SLP208 T02170200 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T02:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.13","68","71","0.00","","","","90","FEW:02 20 BKN:07 39 OVC:08 200","30.13","30.10","7.00","69","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11701/01/15 02:53:02 METAR KMIA 010753Z 00000KT 7SM FEW020 BKN039 OVC200 22/20 A3013 RMK AO2 SLP202 98271 T02170200 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T03:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.12","68","71","0.00","","+0.03","7","90","FEW:02 15 BKN:07 45 BKN:07 80","30.12","30.09","7.00","69","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11701/01/15 03:53:02 METAR KMIA 010853Z 00000KT 7SM FEW015 BKN045 BKN080 22/20 A3012 RMK AO2 SLP200 T02170200 57009 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T04:00:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-12","4","","68","71","","","+0.03","7","90","15","30.12","30.09","6.84","69","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472202 32461 60000 10217 20200 30190 40200 57009 90853 555 90109=","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T04:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.13","68","71","0.00","BR:1 ||","","","90","FEW:02 14 SCT:04 40 BKN:07 80","30.13","30.10","6.00","69","320","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11401/01/15 04:53:02 METAR KMIA 010953Z 32003KT 6SM BR FEW014 SCT040 BKN080 22/20 A3013 RMK AO2 SLP204 T02170200 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T05:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.15","68","71","0.00","BR:1 ||","","","90","FEW:02 40 BKN:07 80 BKN:07 200","30.15","30.12","6.00","69","340","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11401/01/15 05:53:02 METAR KMIA 011053Z 34003KT 6SM BR FEW040 BKN080 BKN200 22/20 A3015 RMK AO2 SLP211 T02170200 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T06:53:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-15","7","30.17","68","70","0.00","","-0.04","3","93","FEW:02 15 BKN:07 50 BKN:07 80","30.17","30.14","5.00","69","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET13201/01/15 06:53:02 METAR KMIA 011153Z 00000KT 5SM BR FEW015 BKN050 BKN080 21/20 A3017 RMK AO2 SLP216 T02110200 10222 20211 53015 (EM)","","","","","","","","","","2009-07-14"
"72202012839","2015-01-01T07:00:00","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","FM-12","4","","68","70","","","-0.04","3","93","15","30.17","30.14","4.97","69","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08672202 31458 80000 10211 20200 30207 40216 53015 710// 91153 333 10272 20211 555 90112=","","","","","","","","","","2009-07-14"
